,id,name,identifiers,neutral_formula,charge,charged_formula,neutral_mono_mass,SMILES,inchi
140,fe3dcit,Fe(III)dicitrate,"[['BIGG', 'fe3dcit'], ['BIGG', 'fe3dcit_e'], ['KEGG', 'C06229'], ['MetaNetX', 'MNXM146388'], ['SEED', 'cpd03725']]",,0,C12H22FeO14,0.0,,
141,fe3hox,Fe(III)hydroxamate,"[['BIGG', 'fe3hox'], ['BIGG', 'fe3hox_e'], ['KEGG', 'C06227'], ['CHEBI', '21131'], ['CHEBI', '28163'], ['CHEBI', '4992'], ['BioCyc', 'CPD0-2114'], ['MetaNetX', 'MNXM57764'], ['SEED', 'cpd12843']]",,2,C9H23FeN3O6,0.0,,
142,fecrm,Ferrichrome,"[['BIGG', 'fecrm'], ['BIGG', 'fecrm_e'], ['KEGG', 'C06228'], ['CHEBI', '5019'], ['inchikey', 'GGUNGDGGXMHBMJ-OCIDDWSYSA-N'], ['BioCyc', 'CPD0-2241'], ['MetaNetX', 'MNXM2825'], ['SEED', 'cpd03724']]",,0,C27H45FeN9O12,0.0,,
143,fecrm_un,Ferrichrome minus Fe(III),"[['BIGG', 'fecrm_DASH_un_e'], ['BIGG', 'fecrm__un_e'], ['BIGG', 'fecrm_un'], ['BIGG', 'fecrm_un_e'], ['BioCyc', 'CPD0-2205'], ['MetaNetX', 'MNXM53290'], ['inchikey', 'ZZDYFKJSJLUQON-UFYCRDLUSA-N'], ['SEED', 'cpd15462']]",,0,C26H43N9O12,0.0,,
144,feenter,Fe-enterobactin,"[['BIGG', 'feenter'], ['BIGG', 'feenter_e'], ['Reactome', 'R-ALL-1222421'], ['KEGG', 'C06230'], ['CHEBI', '21133'], ['CHEBI', '28199'], ['CHEBI', '38151'], ['CHEBI', '4993'], ['CHEBI', '70745'], ['MetaNetX', 'MNXM7354'], ['inchikey', 'NGILTSZTOFYVBF-UVJOBNTFSA-H']]",,0,C30H27FeN3O15,0.0,,
145,frulys,Fructoselysine,"[['BIGG', 'frulys'], ['BIGG', 'frulys_e'], ['inchikey', 'BFSYFTQDGRDJNV-AYHFEMFVSA-O'], ['KEGG', 'C16488'], ['CHEBI', '24109'], ['CHEBI', '61393'], ['CHEBI', '63523'], ['BioCyc', 'FRUCTOSELYSINE'], ['MetaNetX', 'MNXM1742'], ['SEED', 'cpd15466']]",,1,C12H25N2O7,0.0,,
146,g3pc,Sn-Glycero-3-phosphocholine,"[['BIGG', 'g3pc'], ['BIGG', 'g3pc[e]'], ['BIGG', 'g3pc_e'], ['Reactome', 'R-ALL-1498750'], ['KEGG', 'C00670'], ['CHEBI', '10646'], ['CHEBI', '12841'], ['CHEBI', '12847'], ['CHEBI', '14343'], ['CHEBI', '16870'], ['CHEBI', '26697'], ['CHEBI', '41458'], ['CHEBI', '55397'], ['CHEBI', '76433'], ['KEGG_Drug', 'D07349'], ['BioCyc', 'L-1-GLYCERO-PHOSPHORYLCHOLINE'], ['MetaNetX', 'MNXM367'], ['inchikey', 'SUHOQUVVVLNYQR-MRVPVSSYSA-N'], ['SEED', 'cpd00507']]",,0,C8H20NO6P,0.0,,
147,g3ps,Glycerophosphoserine,"[['BIGG', 'g3ps'], ['BIGG', 'g3ps_e'], ['CHEBI', '61931'], ['CHEBI', '62013'], ['CHEBI', '64765'], ['CHEBI', '64945'], ['BioCyc', 'CPD0-2030'], ['MetaNetX', 'MNXM97117'], ['inchikey', 'ZWZWYGMENQVNFU-UHNVWZDZSA-M'], ['SEED', 'cpd15468']]",,-1,C6H13NO8P,0.0,,
148,g6p,D-Glucose 6-phosphate,"[['BIGG', 'g6p'], ['BIGG', 'g6p_e'], ['Reactome', 'R-ALL-1629756'], ['KEGG', 'C00092'], ['CHEBI', '14314'], ['CHEBI', '4170'], ['CHEBI', '61548'], ['HMDB', 'HMDB01401'], ['HMDB', 'HMDB01549'], ['HMDB', 'HMDB06793'], ['BioCyc', 'D-glucopyranose-6-phosphate'], ['MetaNetX', 'MNXM160'], ['inchikey', 'NBSCHQHZLSJFNQ-GASJEMHNSA-L'], ['SEED', 'cpd00079'], ['SEED', 'cpd26836']]",,-2,C6H11O9P,0.0,,
149,gal,D-Galactose,"[['BIGG', 'gal'], ['BIGG', 'gal[e]'], ['BIGG', 'gal_e'], ['KEGG', 'C00124'], ['KEGG', 'C00984'], ['CHEBI', '10231'], ['CHEBI', '12936'], ['CHEBI', '22373'], ['CHEBI', '28061'], ['CHEBI', '4139'], ['CHEBI', '42741'], ['KEGG_Drug', 'D04291'], ['HMDB', 'HMDB00143'], ['HMDB', 'HMDB05762'], ['BioCyc', 'ALPHA-D-GALACTOSE'], ['BioCyc', 'D-galactopyranose'], ['MetaNetX', 'MNXM390'], ['inchikey', 'WQZGKKKJIJFFOK-PHYPRBDBSA-N'], ['SEED', 'cpd00108'], ['SEED', 'cpd00724']]",,0,C6H12O6,0.0,,
150,gal_bD,Beta D-Galactose,"[['BIGG', 'gal_DASH_bD_e'], ['BIGG', 'gal__bD_e'], ['BIGG', 'gal_bD'], ['BIGG', 'gal_bD_e'], ['KEGG', 'C00962'], ['CHEBI', '10383'], ['CHEBI', '22774'], ['CHEBI', '27667'], ['CHEBI', '42776'], ['CHEBI', '42889'], ['HMDB', 'HMDB03449'], ['BioCyc', 'GALACTOSE'], ['MetaNetX', 'MNXM112'], ['inchikey', 'WQZGKKKJIJFFOK-FPRJBGLDSA-N'], ['SEED', 'cpd00709']]",,0,C6H12O6,0.0,,
151,gal1p,Alpha-D-Galactose 1-phosphate,"[['BIGG', 'gal1p'], ['BIGG', 'gal1p_e'], ['Reactome', 'R-ALL-30170'], ['KEGG', 'C00446'], ['KEGG', 'C03384'], ['CHEBI', '10232'], ['CHEBI', '12305'], ['CHEBI', '12306'], ['CHEBI', '17973'], ['CHEBI', '20957'], ['CHEBI', '22374'], ['CHEBI', '37480'], ['CHEBI', '4140'], ['CHEBI', '42878'], ['CHEBI', '58336'], ['CHEBI', '59011'], ['HMDB', 'HMDB00645'], ['HMDB', 'HMDB03359'], ['HMDB', 'HMDB62705'], ['inchikey', 'HXXFSFRBOHSIMQ-FPRJBGLDSA-L'], ['BioCyc', 'GALACTOSE-1P'], ['MetaNetX', 'MNXM336'], ['SEED', 'cpd00348'], ['SEED', 'cpd19025']]",,-2,C6H11O9P,0.0,,
152,galct__D,D-Galactarate,"[['BIGG', 'galct_DASH_D_e'], ['BIGG', 'galct_D_e'], ['BIGG', 'galct__D'], ['BIGG', 'galct__D_e'], ['KEGG', 'C00879'], ['CHEBI', '12929'], ['CHEBI', '14285'], ['CHEBI', '16537'], ['CHEBI', '17444'], ['CHEBI', '20944'], ['CHEBI', '24135'], ['CHEBI', '24136'], ['CHEBI', '24137'], ['CHEBI', '30852'], ['CHEBI', '33799'], ['CHEBI', '35390'], ['CHEBI', '4130'], ['CHEBI', '48871'], ['CHEBI', '5250'], ['inchikey', 'DSLZVSRJTYRBFB-DUHBMQHGSA-L'], ['HMDB', 'HMDB00639'], ['HMDB', 'HMDB03435'], ['LipidMaps', 'LMFA01170107'], ['BioCyc', 'D-GALACTARATE'], ['MetaNetX', 'MNXM1080'], ['SEED', 'cpd00652']]",,-2,C6H8O8,0.0,,
153,galctn__L,L-Galactonate,"[['BIGG', 'galctn_DASH_L_e'], ['BIGG', 'galctn_L_e'], ['BIGG', 'galctn__L'], ['BIGG', 'galctn__L_e'], ['KEGG', 'C15930'], ['CHEBI', '37425'], ['CHEBI', '53071'], ['BioCyc', 'CPD0-1083'], ['MetaNetX', 'MNXM636'], ['inchikey', 'RGHNJXZEOKUKBD-RSJOWCBRSA-M'], ['SEED', 'cpd14659']]",,-1,C6H11O7,0.0,,
154,gam,D-Glucosamine,"[['BIGG', 'gam'], ['BIGG', 'gam[e]'], ['BIGG', 'gam_e'], ['Reactome', 'R-ALL-6786660'], ['KEGG', 'C00329'], ['CHEBI', '12961'], ['CHEBI', '17315'], ['CHEBI', '4162'], ['CHEBI', '47972'], ['CHEBI', '47977'], ['CHEBI', '5417'], ['CHEBI', '58723'], ['KEGG_Drug', 'D04334'], ['HMDB', 'HMDB01514'], ['HMDB', 'HMDB06479'], ['HMDB', 'HMDB15410'], ['BioCyc', 'GLUCOSAMINE'], ['MetaNetX', 'MNXM533'], ['inchikey', 'MSWZFWKMSRAUBD-IVMDWMLBSA-O'], ['SEED', 'cpd00276'], ['SEED', 'cpd01247'], ['SEED', 'cpd27103']]",,1,C6H14NO5,0.0,,
155,gam6p,D-Glucosamine 6-phosphate,"[['BIGG', 'gam6p'], ['BIGG', 'gam6p_e'], ['KEGG', 'C00352'], ['CHEBI', '12962'], ['CHEBI', '47987'], ['CHEBI', '58725'], ['BioCyc', 'D-GLUCOSAMINE-6-P'], ['MetaNetX', 'MNXM370'], ['inchikey', 'XHMJOUIAFHJHBW-IVMDWMLBSA-M'], ['SEED', 'cpd00288']]",,-1,C6H13NO8P,0.0,,
156,gbbtn,Gamma-butyrobetaine,"[['BIGG', 'gbbtn'], ['BIGG', 'gbbtn_e'], ['Reactome', 'R-ALL-31369'], ['KEGG', 'C01181'], ['CHEBI', '12047'], ['CHEBI', '16244'], ['CHEBI', '1941'], ['CHEBI', '20484'], ['HMDB', 'HMDB01161'], ['HMDB', 'HMDB06831'], ['inchikey', 'JHPNVNIEXXLNTR-UHFFFAOYSA-N'], ['BioCyc', 'GAMMA-BUTYROBETAINE'], ['MetaNetX', 'MNXM626'], ['SEED', 'cpd00870']]",,-1,C7H15NO2,0.0,,
157,gdp,GDP C10H12N5O11P2,"[['BIGG', 'gdp'], ['BIGG', 'gdp[e]'], ['BIGG', 'gdp_e'], ['Reactome', 'R-ALL-111349'], ['Reactome', 'R-ALL-113525'], ['Reactome', 'R-ALL-205689'], ['Reactome', 'R-ALL-29420'], ['KEGG', 'C00035'], ['CHEBI', '13327'], ['CHEBI', '14379'], ['CHEBI', '17552'], ['CHEBI', '24448'], ['CHEBI', '42738'], ['CHEBI', '5212'], ['CHEBI', '58189'], ['CHEBI', '65180'], ['KEGG_Glycan', 'G10620'], ['HMDB', 'HMDB01201'], ['BioCyc', 'GDP'], ['MetaNetX', 'MNXM30'], ['inchikey', 'QGWNDRXFNXRZMB-UUOKFMHZSA-K'], ['SEED', 'cpd00031']]",,-3,C10H12N5O11P2,0.0,,
158,glcr,D-Glucarate,"[['BIGG', 'glcr'], ['BIGG', 'glcr[e]'], ['BIGG', 'glcr_e'], ['KEGG', 'C00818'], ['CHEBI', '12953'], ['CHEBI', '16002'], ['CHEBI', '20980'], ['CHEBI', '20982'], ['CHEBI', '30612'], ['CHEBI', '33801'], ['CHEBI', '4155'], ['CHEBI', '42731'], ['inchikey', 'DSLZVSRJTYRBFB-LLEIAEIESA-L'], ['HMDB', 'HMDB00663'], ['HMDB', 'HMDB29881'], ['LipidMaps', 'LMFA01170108'], ['BioCyc', 'D-GLUCARATE'], ['MetaNetX', 'MNXM744'], ['SEED', 'cpd00571'], ['SEED', 'cpd00609'], ['SEED', 'cpd00984'], ['SEED', 'cpd01246']]",,-2,C6H8O8,0.0,,
159,glyald,D-Glyceraldehyde,"[['BIGG', 'glyald'], ['BIGG', 'glyald[e]'], ['BIGG', 'glyald_e'], ['Reactome', 'R-ALL-30393'], ['KEGG', 'C00577'], ['CHEBI', '12982'], ['CHEBI', '17378'], ['CHEBI', '21025'], ['CHEBI', '39973'], ['CHEBI', '4186'], ['BioCyc', 'GLYCERALD'], ['inchikey', 'MNQZXJOMYWMBOU-VKHMYHEASA-N'], ['MetaNetX', 'MNXM435'], ['SEED', 'cpd00448']]",,0,C3H6O3,0.0,,
160,glyc__R,(R)-Glycerate,"[['BIGG', 'glyc_DASH_R_e'], ['BIGG', 'glyc_R[e]'], ['BIGG', 'glyc_R_e'], ['BIGG', 'glyc__R'], ['BIGG', 'glyc__R_e'], ['Reactome', 'R-ALL-6799497'], ['KEGG', 'C00258'], ['CHEBI', '10999'], ['CHEBI', '12985'], ['CHEBI', '16659'], ['CHEBI', '21027'], ['CHEBI', '21030'], ['CHEBI', '24348'], ['CHEBI', '24349'], ['CHEBI', '32398'], ['CHEBI', '33508'], ['CHEBI', '33846'], ['CHEBI', '33871'], ['CHEBI', '4187'], ['CHEBI', '41990'], ['HMDB', 'HMDB00139'], ['HMDB', 'HMDB31818'], ['BioCyc', 'GLYCERATE'], ['MetaNetX', 'MNXM189'], ['inchikey', 'RBNPOMFGQQGHHO-UWTATZPHSA-M'], ['SEED', 'cpd00223']]",,-1,C3H5O4,0.0,,
161,glyc3p,Glycerol 3-phosphate,"[['BIGG', 'glyc3p'], ['BIGG', 'glyc3p[e]'], ['BIGG', 'glyc3p_e'], ['Reactome', 'R-ALL-188458'], ['Reactome', 'R-ALL-76114'], ['inchikey', 'AWUCVROLDVIAJX-GSVOUGTGSA-L'], ['KEGG', 'C00093'], ['CHEBI', '10648'], ['CHEBI', '12843'], ['CHEBI', '12848'], ['CHEBI', '15978'], ['CHEBI', '26705'], ['CHEBI', '42793'], ['CHEBI', '57597'], ['HMDB', 'HMDB00126'], ['HMDB', 'HMDB02722'], ['BioCyc', 'GLYCEROL-3P'], ['MetaNetX', 'MNXM66'], ['SEED', 'cpd00080']]",,-2,C3H7O6P,0.0,,
162,gmp,GMP C10H12N5O8P,"[['BIGG', 'gmp'], ['BIGG', 'gmp[e]'], ['BIGG', 'gmp_e'], ['KEGG', 'C00144'], ['CHEBI', '13341'], ['CHEBI', '14381'], ['CHEBI', '17345'], ['CHEBI', '24449'], ['CHEBI', '24450'], ['CHEBI', '29058'], ['CHEBI', '40119'], ['CHEBI', '42615'], ['CHEBI', '42647'], ['CHEBI', '42831'], ['CHEBI', '42887'], ['CHEBI', '42892'], ['CHEBI', '42979'], ['CHEBI', '47450'], ['CHEBI', '5228'], ['CHEBI', '58115'], ['HMDB', 'HMDB01397'], ['BioCyc', 'GMP'], ['MetaNetX', 'MNXM113'], ['inchikey', 'RQFCJASXJCIDSX-UUOKFMHZSA-L'], ['SEED', 'cpd00126']]",,-2,C10H12N5O8P,0.0,,
163,gsn,Guanosine,"[['BIGG', 'gsn'], ['BIGG', 'gsn[e]'], ['BIGG', 'gsn_e'], ['KEGG', 'C00387'], ['CHEBI', '14375'], ['CHEBI', '16750'], ['CHEBI', '24444'], ['CHEBI', '42840'], ['CHEBI', '42847'], ['CHEBI', '42853'], ['CHEBI', '471737'], ['CHEBI', '5564'], ['HMDB', 'HMDB00133'], ['BioCyc', 'GUANOSINE'], ['MetaNetX', 'MNXM401'], ['inchikey', 'NYHBQMYGNKIUIF-UUOKFMHZSA-N'], ['SEED', 'cpd00311']]",,0,C10H13N5O5,0.0,,
164,gthox,Oxidized glutathione,"[['BIGG', 'gthox'], ['BIGG', 'gthox[e]'], ['BIGG', 'gthox_e'], ['Reactome', 'R-ALL-111745'], ['Reactome', 'R-ALL-1655882'], ['Reactome', 'R-ALL-3341331'], ['KEGG', 'C00127'], ['CHEBI', '14328'], ['CHEBI', '14720'], ['CHEBI', '17858'], ['CHEBI', '24336'], ['CHEBI', '42832'], ['CHEBI', '58297'], ['CHEBI', '7840'], ['KEGG_Drug', 'D00031'], ['HMDB', 'HMDB03337'], ['BioCyc', 'OXIDIZED-GLUTATHIONE'], ['MetaNetX', 'MNXM151'], ['inchikey', 'YPZRWBKMTBYPTK-BJDJZHNGSA-L'], ['SEED', 'cpd00111']]",,-2,C20H30N6O12S2,0.0,,
165,gua,Guanine,"[['BIGG', 'gua'], ['BIGG', 'gua[e]'], ['BIGG', 'gua_e'], ['Reactome', 'R-ALL-83956'], ['KEGG', 'C00242'], ['CHEBI', '14371'], ['CHEBI', '14372'], ['CHEBI', '16235'], ['CHEBI', '24443'], ['CHEBI', '42948'], ['CHEBI', '5563'], ['HMDB', 'HMDB00132'], ['BioCyc', 'GUANINE'], ['MetaNetX', 'MNXM259'], ['inchikey', 'UYTPUPDQBNUYGX-UHFFFAOYSA-N'], ['SEED', 'cpd00207']]",,0,C5H5N5O,0.0,,
166,h2,Hydrogen,"[['BIGG', 'h2'], ['BIGG', 'h2[e]'], ['BIGG', 'h2_e'], ['Reactome', 'R-ALL-113555'], ['KEGG', 'C00282'], ['CHEBI', '13350'], ['CHEBI', '18276'], ['CHEBI', '25363'], ['CHEBI', '29294'], ['CHEBI', '29298'], ['CHEBI', '29299'], ['CHEBI', '5785'], ['HMDB', 'HMDB01362'], ['BioCyc', 'HYDROGEN-MOLECULE'], ['MetaNetX', 'MNXM195'], ['inchikey', 'UFHFLCQGNIYNRP-UHFFFAOYSA-N'], ['SEED', 'cpd11640']]",,0,H2,0.0,,
167,h2o2,Hydrogen peroxide,"[['BIGG', 'h2o2'], ['BIGG', 'h2o2[e]'], ['BIGG', 'h2o2_e'], ['Reactome', 'R-ALL-113575'], ['Reactome', 'R-ALL-1614617'], ['Reactome', 'R-ALL-189481'], ['Reactome', 'R-ALL-29408'], ['Reactome', 'R-ALL-351629'], ['KEGG', 'C00027'], ['CHEBI', '13354'], ['CHEBI', '13355'], ['CHEBI', '16240'], ['CHEBI', '24637'], ['CHEBI', '25940'], ['CHEBI', '29192'], ['CHEBI', '29370'], ['CHEBI', '44782'], ['CHEBI', '44785'], ['CHEBI', '44812'], ['CHEBI', '5586'], ['KEGG_Drug', 'D00008'], ['HMDB', 'HMDB03125'], ['HMDB', 'HMDB06491'], ['BioCyc', 'HYDROGEN-PEROXIDE'], ['inchikey', 'MHAJPDPJQMAIIY-UHFFFAOYSA-N'], ['MetaNetX', 'MNXM22'], ['SEED', 'cpd00025']]",,0,H2O2,0.0,,
168,hacolipa,Hepta-acylated core oligosaccharide lipid A (E. coli),"[['BIGG', 'hacolipa'], ['BIGG', 'hacolipa_e'], ['MetaNetX', 'MNXM11799']]",,-7,C192H337N2O101P4,0.0,,
169,halipa,Hepta-acylated KDO(2)-lipid (A),"[['BIGG', 'halipa'], ['BIGG', 'halipa_e'], ['inchikey', 'FKGIQBXWASHJRH-JYIPIDLLSA-J'], ['MetaNetX', 'MNXM93466'], ['SEED', 'cpd15483']]",,-4,C126H228N2O40P2,0.0,,
170,hdca,Hexadecanoate (n-C16:0),"[['BIGG', 'hdca'], ['BIGG', 'hdca[e]'], ['BIGG', 'hdca_e'], ['Reactome', 'R-ALL-2453691'], ['Reactome', 'R-ALL-3632881'], ['Reactome', 'R-ALL-390435'], ['Reactome', 'R-ALL-426576'], ['Reactome', 'R-ALL-5690516'], ['Reactome', 'R-ALL-76168'], ['KEGG', 'C00249'], ['CHEBI', '14730'], ['CHEBI', '15756'], ['CHEBI', '231736'], ['CHEBI', '233028'], ['CHEBI', '24540'], ['CHEBI', '24541'], ['CHEBI', '24542'], ['CHEBI', '24550'], ['CHEBI', '29889'], ['CHEBI', '35978'], ['CHEBI', '44952'], ['CHEBI', '7896'], ['KEGG_Drug', 'D05341'], ['HMDB', 'HMDB00220'], ['HMDB', 'HMDB60083'], ['inchikey', 'IPCSVZSSVZVIGE-UHFFFAOYSA-M'], ['LipidMaps', 'LMFA01010001'], ['LipidMaps', 'LMFA01010046'], ['BioCyc', 'PALMITATE'], ['MetaNetX', 'MNXM108'], ['SEED', 'cpd00214']]",,-1,C16H31O2,0.0,,
171,idon__L,L-Idonate,"[['BIGG', 'idon_DASH_L_e'], ['BIGG', 'idon_L_e'], ['BIGG', 'idon__L'], ['BIGG', 'idon__L_e'], ['KEGG', 'C00770'], ['CHEBI', '13126'], ['CHEBI', '17796'], ['CHEBI', '21335'], ['CHEBI', '21336'], ['CHEBI', '57659'], ['CHEBI', '58494'], ['CHEBI', '6250'], ['BioCyc', 'L-IDONATE'], ['MetaNetX', 'MNXM1565'], ['inchikey', 'RGHNJXZEOKUKBD-SKNVOMKLSA-M'], ['SEED', 'cpd00573']]",,-1,C6H11O7,0.0,,
172,indole,Indole,"[['BIGG', 'indole'], ['BIGG', 'indole_e'], ['Reactome', 'R-ALL-216547'], ['KEGG', 'C00463'], ['CHEBI', '14444'], ['CHEBI', '16881'], ['CHEBI', '24794'], ['CHEBI', '35579'], ['CHEBI', '35581'], ['CHEBI', '43537'], ['CHEBI', '5900'], ['HMDB', 'HMDB00738'], ['BioCyc', 'INDOLE'], ['MetaNetX', 'MNXM377'], ['inchikey', 'SIKJAQJRHWYJAI-UHFFFAOYSA-N'], ['SEED', 'cpd00359']]",,0,C8H7N,0.0,,
173,inost,Myo-Inositol,"[['BIGG', 'inost'], ['BIGG', 'inost[e]'], ['BIGG', 'inost_e'], ['Reactome', 'R-ALL-426910'], ['Reactome', 'R-ALL-429130'], ['KEGG', 'C00137'], ['KEGG', 'C19891'], ['inchikey', 'CDAISMWEOUEBRE-GPIVLXJGSA-N'], ['CHEBI', '10601'], ['CHEBI', '12826'], ['CHEBI', '12831'], ['CHEBI', '17268'], ['CHEBI', '19183'], ['CHEBI', '24848'], ['CHEBI', '25451'], ['CHEBI', '27372'], ['CHEBI', '4200'], ['CHEBI', '43559'], ['CHEBI', '52772'], ['KEGG_Drug', 'D08079'], ['HMDB', 'HMDB00211'], ['HMDB', 'HMDB02256'], ['HMDB', 'HMDB34220'], ['BioCyc', 'CPD-8052'], ['BioCyc', 'MYO-INOSITOL'], ['MetaNetX', 'MNXM127'], ['SEED', 'cpd00121'], ['SEED', 'cpd21131']]",,0,C6H12O6,0.0,,
174,ins,Inosine,"[['BIGG', 'ins'], ['BIGG', 'ins[e]'], ['BIGG', 'ins_e'], ['Reactome', 'R-ALL-83921'], ['Reactome', 'R-ALL-83927'], ['KEGG', 'C00294'], ['CHEBI', '14456'], ['CHEBI', '17596'], ['CHEBI', '24841'], ['CHEBI', '44407'], ['CHEBI', '5927'], ['KEGG_Drug', 'D00054'], ['HMDB', 'HMDB00195'], ['BioCyc', 'INOSINE'], ['MetaNetX', 'MNXM334'], ['inchikey', 'UGQMRVRMYYASKQ-KQYNXXCUSA-N'], ['SEED', 'cpd00246']]",,0,C10H12N4O5,0.0,,
175,isetac,Isethionic acid,"[['BIGG', 'isetac'], ['BIGG', 'isetac_e'], ['KEGG', 'C05123'], ['CHEBI', '1157'], ['CHEBI', '61904'], ['HMDB', 'HMDB03903'], ['BioCyc', 'CPD-3745'], ['MetaNetX', 'MNXM1630'], ['inchikey', 'SUMDYPCJJOFFON-UHFFFAOYSA-M'], ['SEED', 'cpd03048']]",,-1,C2H5O4S,0.0,,
176,k,Potassium,"[['BIGG', 'k'], ['BIGG', 'k[e]'], ['BIGG', 'k_e'], ['Reactome', 'R-ALL-29804'], ['Reactome', 'R-ALL-5626313'], ['Reactome', 'R-ALL-74126'], ['KEGG', 'C00238'], ['CHEBI', '26219'], ['CHEBI', '29103'], ['CHEBI', '49685'], ['CHEBI', '8345'], ['KEGG_Drug', 'D08403'], ['HMDB', 'HMDB00586'], ['BioCyc', 'K+'], ['MetaNetX', 'MNXM95'], ['inchikey', 'NPYPAHLBTDXSSS-UHFFFAOYSA-N'], ['SEED', 'cpd00205']]",,1,K,0.0,,
177,lac__L,L-Lactate,"[['BIGG', 'lac-L[e]'], ['BIGG', 'lac_DASH_L_e'], ['BIGG', 'lac_L[e]'], ['BIGG', 'lac_L_e'], ['BIGG', 'lac__L'], ['BIGG', 'lac__L_e'], ['Reactome', 'R-ALL-29708'], ['Reactome', 'R-ALL-373863'], ['Reactome', 'R-ALL-6807616'], ['KEGG', 'C00186'], ['CHEBI', '11065'], ['CHEBI', '12411'], ['CHEBI', '16651'], ['CHEBI', '18783'], ['CHEBI', '422'], ['HMDB', 'HMDB00190'], ['HMDB', 'HMDB03328'], ['HMDB', 'HMDB62492'], ['inchikey', 'JVTAAEKCZFNVCJ-REOHCLBHSA-M'], ['BioCyc', 'L-LACTATE'], ['MetaNetX', 'MNXM179'], ['SEED', 'cpd00159']]",,-1,C3H5O3,0.0,,
178,lipoate,Lipoate,"[['BIGG', 'lipoate'], ['BIGG', 'lipoate[e]'], ['BIGG', 'lipoate_e'], ['inchikey', 'AGBQKNBQESQNJD-SSDOTTSWSA-M'], ['KEGG', 'C00725'], ['KEGG', 'C16241'], ['CHEBI', '14519'], ['CHEBI', '146958'], ['CHEBI', '16494'], ['CHEBI', '25056'], ['CHEBI', '25058'], ['CHEBI', '30313'], ['CHEBI', '30314'], ['CHEBI', '30315'], ['CHEBI', '43790'], ['CHEBI', '43796'], ['CHEBI', '6492'], ['CHEBI', '83088'], ['KEGG_Drug', 'D00086'], ['HMDB', 'HMDB01451'], ['HMDB', 'HMDB14312'], ['LipidMaps', 'LMFA01130001'], ['BioCyc', 'LIPOIC-ACID'], ['MetaNetX', 'MNXM1484'], ['SEED', 'cpd00541'], ['SEED', 'cpd14958']]",,-1,C8H13O2S2,0.0,,
179,lyx__L,L-Lyxose,"[['BIGG', 'lyx_DASH_L_e'], ['BIGG', 'lyx_L_e'], ['BIGG', 'lyx__L'], ['BIGG', 'lyx__L_e'], ['KEGG', 'C01508'], ['CHEBI', '62321'], ['BioCyc', 'CPD-15867'], ['MetaNetX', 'MNXM4641'], ['inchikey', 'SRBFZHDQGSBBOR-AEQNFAKKSA-N'], ['SEED', 'cpd01067']]",,0,C5H10O5,0.0,,
180,malthx,Maltohexaose,"[['BIGG', 'malthx'], ['BIGG', 'malthx[e]'], ['BIGG', 'malthx_e'], ['KEGG', 'C01936'], ['CHEBI', '25141'], ['CHEBI', '27445'], ['CHEBI', '61953'], ['CHEBI', '6667'], ['KEGG_Glycan', 'G00755'], ['HMDB', 'HMDB12253'], ['BioCyc', 'MALTOHEXAOSE'], ['MetaNetX', 'MNXM1317'], ['inchikey', 'OCIBBXPLUVYKCH-QXVNYKTNSA-N'], ['SEED', 'cpd01329']]",,0,C36H62O31,0.0,,
181,malttr,Maltotriose C18H32O16,"[['BIGG', 'malttr'], ['BIGG', 'malttr[e]'], ['BIGG', 'malttr_e'], ['Reactome', 'R-ALL-191103'], ['KEGG', 'C01835'], ['CHEBI', '25146'], ['CHEBI', '27931'], ['CHEBI', '43937'], ['CHEBI', '61993'], ['CHEBI', '6672'], ['inchikey', 'FYGDTMLNYKFZSV-PXXRMHSHSA-N'], ['HMDB', 'HMDB01262'], ['BioCyc', 'MALTOTRIOSE'], ['MetaNetX', 'MNXM468'], ['SEED', 'cpd01262']]",,0,C18H32O16,0.0,,
182,maltttr,Maltotetraose,"[['BIGG', 'maltttr'], ['BIGG', 'maltttr[e]'], ['BIGG', 'maltttr_e'], ['KEGG', 'C02013'], ['KEGG', 'C02052'], ['CHEBI', '25145'], ['CHEBI', '28460'], ['CHEBI', '44299'], ['CHEBI', '61988'], ['CHEBI', '62974'], ['CHEBI', '6671'], ['KEGG_Glycan', 'G00459'], ['HMDB', 'HMDB01296'], ['inchikey', 'LUEWUZLMQUOBSB-ZLBHSGTGSA-N'], ['BioCyc', 'CPD-13205'], ['BioCyc', 'CPD0-2595'], ['BioCyc', 'MALTOTETRAOSE'], ['MetaNetX', 'MNXM5663'], ['SEED', 'cpd01376'], ['SEED', 'cpd01399']]",,0,C24H42O21,0.0,,
183,melib,Melibiose C12H22O11,"[['BIGG', 'melib'], ['BIGG', 'melib[e]'], ['BIGG', 'melib_e'], ['CHEBI', '61827'], ['inchikey', 'DLRVVLDZNNYCBX-ZZFZYMBESA-N'], ['KEGG_Glycan', 'G00835'], ['BioCyc', 'MELIBIOSE'], ['MetaNetX', 'MNXM8340']]",,0,C12H22O11,0.0,,
